CMDLINE python script2.py
MEM 0.121094 1588687958.0685
MEM 9.753906 1588687958.1693
MEM 12.535156 1588687958.2694
MEM 14.054688 1588687958.3748
MEM 15.003906 1588687958.4875
MEM 16.351562 1588687958.5875
MEM 17.101562 1588687958.6878
MEM 19.003906 1588687958.7881
MEM 20.437500 1588687958.8909
MEM 22.144531 1588687959.0037
MEM 24.382812 1588687959.1129
MEM 25.238281 1588687959.2225
MEM 25.937500 1588687959.3318
MEM 39.042969 1588687959.4410
MEM 41.539062 1588687959.5419
MEM 42.261719 1588687959.6423
MEM 43.527344 1588687959.7425
MEM 44.773438 1588687959.8433
MEM 48.792969 1588687959.9433
MEM 48.804688 1588687960.0436
MEM 48.804688 1588687960.1439
MEM 48.804688 1588687960.2446
MEM 48.804688 1588687960.3455
MEM 48.824219 1588687960.4585
MEM 48.824219 1588687960.5679
MEM 48.925781 1588687960.6688
MEM 48.925781 1588687960.7693
MEM 48.925781 1588687960.8699
MEM 49.175781 1588687960.9706
MEM 49.175781 1588687961.0716
MEM 50.031250 1588687961.1725
MEM 50.203125 1588687961.2728
MEM 50.296875 1588687961.3807
MEM 51.257812 1588687961.4919
MEM 51.964844 1588687961.5926
MEM 52.144531 1588687961.6933
MEM 52.421875 1588687961.7941
MEM 53.359375 1588687961.8948
MEM 53.835938 1588687961.9952
MEM 55.730469 1588687962.0961
MEM 57.714844 1588687962.1962
MEM 60.394531 1588687962.2965
MEM 61.902344 1588687962.4121
MEM 63.101562 1588687962.5215
MEM 63.281250 1588687962.6222
MEM 63.617188 1588687962.7359
MEM 64.265625 1588687962.8418
MEM 64.828125 1588687962.9511
MEM 66.656250 1588687963.0604
MEM 66.820312 1588687963.1612
MEM 67.253906 1588687963.2711
MEM 67.765625 1588687963.3805
MEM 68.289062 1588687963.4898
MEM 69.449219 1588687963.5906
MEM 69.812500 1588687963.6913
MEM 70.082031 1588687963.7922
MEM 70.566406 1588687963.8929
MEM 71.273438 1588687963.9938
MEM 71.402344 1588687964.0941
MEM 71.933594 1588687964.1946
MEM 72.679688 1588687964.2954
MEM 73.144531 1588687964.3967
MEM 73.578125 1588687964.5062
MEM 74.109375 1588687964.6070
MEM 74.707031 1588687964.7079
MEM 75.261719 1588687964.8080
MEM 76.218750 1588687964.9084
MEM 78.363281 1588687965.0102
MEM 80.136719 1588687965.1110
MEM 80.652344 1588687965.2111
MEM 81.390625 1588687965.3118
MEM 81.816406 1588687965.4134
MEM 82.511719 1588687965.5228
MEM 83.222656 1588687965.6233
MEM 83.980469 1588687965.7241
MEM 84.863281 1588687965.8246
MEM 85.289062 1588687965.9255
MEM 85.652344 1588687966.0257
MEM 85.988281 1588687966.1263
MEM 87.226562 1588687966.2269
MEM 87.882812 1588687966.3376
MEM 89.089844 1588687966.4469
MEM 90.730469 1588687966.5563
MEM 92.007812 1588687966.6571
MEM 92.527344 1588687966.7573
MEM 93.097656 1588687966.8580
MEM 93.613281 1588687966.9587
MEM 94.160156 1588687967.0594
MEM 94.519531 1588687967.1599
MEM 95.593750 1588687967.2601
MEM 97.218750 1588687967.3604
MEM 97.570312 1588687967.4703
MEM 98.000000 1588687967.5797
MEM 98.625000 1588687967.6799
MEM 99.316406 1588687967.7806
